RH_pct,Wind_Spd_mph,Wind_Direction_deg,Low_Cloud_Ht_ft,Med_Cloud_Ht_ft,High_Cloud_Ht_ft,Visibility_mi,Atm_Press_hPa,Sea_Lev_Press_hPa,Altimeter_hPa,LES_Snowfall,idx
69,9,30,2300,0,0,10,993.3,1016.9,1016.3,0,320
69,13,40,2300,5000,0,10,992.3,1015.8,1015.2,0,321
69,13,360,2300,8000,0,10,992.3,1015.8,1015.2,0,322
78,16,10,2100,2800,0,9,992.3,1015.8,1015.2,0,323
93,10,30,900,1400,4600,8,992.7,0,1015.6,0,324
93,6,10,300,0,0,1,993.3,0,1016.3,0,325
100,8,20,200,0,0,0,991.7,0,1014.6,0,326
93,11,20,600,0,0,3,992,0,1014.9,0,327
69,10,20,2200,3100,0,10,997.7,1021.4,1020.7,0,328
64,9,50,2400,3100,0,10,998.3,0,1021.3,0,329
69,8,40,2400,3400,0,10,999.6,1023.2,1022.7,0,330
69,0,0,2600,3200,0,10,1000.6,1024.5,1023.7,0,331
74,6,80,2800,0,0,10,1001,0,1024,0,332
75,6,80,2800,0,0,10,1001.3,1025.1,1024.4,0,333
72,6,90,3200,0,0,10,1001.6,1025.5,1024.7,0,334
75,3,130,3200,0,0,10,1002,1025.8,1025.1,0,335
72,9,160,2000,0,0,10,1002.3,1026,1025.4,0,336
69,8,150,2000,0,0,10,1002,1025.8,1025.1,0,337
75,3,0,2200,0,0,10,1001.3,1025.2,1024.4,0,338
84,3,90,0,0,0,10,1001.3,1025.2,1024.4,0,339
92,3,90,0,0,0,10,1001.3,1025.2,1024.4,0,340
92,3,120,0,0,0,10,1001,1024.8,1024,0,341
88,0,0,0,0,0,10,1001,1024.9,1024,0,342
88,3,100,0,0,0,10,1000.6,1024.3,1023.7,0,343
92,5,0,800,0,0,3,990.3,1013.7,1013.2,0,344
88,5,0,1800,0,0,4,990.3,1013.8,1013.2,0,345
92,5,0,1600,0,0,6,990.3,1013.7,1013.2,0,346
92,5,0,1600,0,0,7,990.7,1014,1013.5,0,347
93,0,0,900,0,0,7,990.7,0,1013.5,0,348
92,3,0,900,1800,0,5,991,1014.4,1013.9,0,349
92,0,0,1100,0,0,6,991.3,1014.9,1014.2,0,350
92,5,150,900,0,0,3,991.7,1015,1014.6,0,351
92,0,0,600,0,0,5,987.7,1011.1,1010.5,0,352
88,3,170,600,0,0,5,988,1011.3,1010.8,0,353
88,0,0,800,0,0,5,988.3,1011.8,1011.2,0,354
93,0,0,800,2200,0,5,988.3,0,1011.2,0,355
92,0,0,800,2200,0,5,988.3,1011.9,1011.2,0,356
92,0,0,2600,5000,0,6,987.7,1011,1010.5,0,357
95,0,0,500,1100,1800,6,988,1011.5,1010.8,0,358
92,0,0,500,1700,0,7,988.3,1011.7,1011.2,0,359
76,8,20,2300,0,0,10,989.7,1012.9,1012.5,0,360
78,7,20,1300,2000,3300,10,990,1013.5,1012.9,0,361
75,7,60,1900,2400,3500,10,990,1013.3,1012.9,0,362
79,7,50,2900,3500,4400,10,990.3,1013.6,1013.2,0,363
73,7,30,4500,0,0,10,990.7,1014.3,1013.5,0,364
78,6,60,0,0,0,10,991,1014.4,1013.9,0,365
85,8,70,0,0,0,10,990.3,1013.7,1013.2,0,366
89,7,60,0,0,0,10,990.3,1013.9,1013.2,0,367
69,18,360,1800,0,0,10,979.7,1002.8,1002.4,0,368
72,13,360,1800,0,0,10,980,1003,1002.7,0,369
72,16,360,1800,0,0,10,980,1003.3,1002.7,0,370
75,17,340,1800,0,0,10,980.4,1003.7,1003,0,371
72,16,340,1800,0,0,10,980.7,1003.9,1003.4,0,372
66,15,340,2400,0,0,10,981.4,1004.4,1004.1,0,373
72,15,340,2000,0,0,10,981,1004.1,1003.7,0,374
72,11,350,2000,0,0,10,981,1004.4,1003.7,0,375
64,7,290,2600,0,0,10,989.7,1013.1,1012.5,0,376
59,8,310,3000,0,0,10,990,1013.5,1012.9,0,377
64,10,280,3000,0,0,10,991,1014.3,1013.9,0,378
69,6,280,2800,0,0,10,991.3,1015,1014.2,0,379
69,5,270,2800,0,0,10,992,1015.4,1014.9,0,380
66,3,0,2800,0,0,10,992.7,1016.3,1015.6,0,381
69,0,0,2600,0,0,10,993,1016.5,1015.9,0,382
72,0,0,2600,0,0,10,993,1016.6,1015.9,0,383
82,7,300,1600,2300,0,10,995.7,1019,1018.6,0,384
88,3,320,1000,2000,2400,10,996,1019.5,1019,0,385
69,10,350,1000,2800,0,10,996.3,1019.9,1019.3,0,386
67,7,350,2800,3500,4200,10,996.7,1020.2,1019.6,0,387
75,10,340,2100,4200,4800,10,997.3,1020.9,1020.3,0,388
75,9,340,2000,2600,3700,10,997.7,1021.1,1020.7,0,389
72,9,10,2700,3600,0,10,997.7,1021.2,1020.7,0,390
85,9,20,2400,3500,5500,10,998,1021.5,1021,0,391
64,8,340,3800,0,0,10,1000,1023.8,1023,0,392
66,6,360,3800,0,0,10,1000,1023.8,1023,0,393
66,6,340,3100,0,0,10,1000.3,1024.2,1023.4,0,394
66,7,340,3600,0,0,10,1000.6,1024.4,1023.7,0,395
